Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
100;Boeing;737-400;999XL;1;0;0;1988;28.9;36.6;11,10;62800;168;815;3870;2 General Electric/SNECMA CFM56-3C1s;23500;2;3;20800;3050;41000000;1;Die Boeing 737-400 ist eine der größeren Varianten des Kurzstreckenjets. Ihr Rumpf wurde verlängert und so das Fassungsvermögen erhöht. 
125;Boeing;727-200;999XL;1;0;0;1964;32,91;46,69;10,36;95000;189;1000;4700;3 Pratt & Whitney JT 25/17R;33000;3;3;25000;15000;26000000;1,2;5 Jahre nachdem Boeing in das Mittelstreckengeschäft einstieg, entwarf man das Model 727. Die 727 ist in einer Schnellumrüstvariante erhältlich, um sie von Passagier auf Frachttransport umzufunktionieren.
118;Boeing;720;999XL;1;0;0;1963;39.8;41.8;11,00;92000;165;965;6835;4 Pratt & Whitney JT3D-3;8165;3;3;79925;11000;14025000;1.2;Die kleinere Schwester der 707 wurde 1960 vorgestellt. Der Verbrauch und die Wirtschaftlichkeit wurden verbessert und die Reichweite erhöht. Trotzdem wurden nur insgesamt 154 Maschinen gefertigt. 
117;Boeing;707-320C;999XL;1;0;0;1961;44.4;46.6;11,00;151300;189;975;5840;4 Pratt & Whitney JT4A-11 ;7938;3;4;92250;15345;14175000;1.3;Schon 1954 flog der este Prototyp der 707. Jahrelang wurde sie mit großem Erfolg eingesetzt und die hier vorgestellte 707C ist die Langstreckenversion. Sie ist heute nicht mehr das modernste Flugzeug aber war all die Jahre einer der zuverlässigsten Liner.
115;Lockheed Aircraft Corp.;L-1011 Tristar 500;999XL;1;1;0;1980;50.1;50.05;17;225000;300;800;8500;3 Rolls Royce RB211-524B;22700;3;4;80000;9100;30000000;1.2;Die 500er ist die letzte Version der bekannten 'Tristar' die als Konkurrent gegen die DC10 auf den Markt gebracht wurde. Sie wurde insgesamt 250 mal verkauft.
113;Ilyushin Sowjetunion;Il 86;999XL;1;1;0;1980;48.00;59.8;15.8;205000;380;950;4950;4 Kuznetsov NK86;13000;2;5;53000;9800;17100000;1.5;Ein -für russische Verhältnisse- sehr moderner Linienjet der seit 1980 in der Aeroflot eingesetzt wird. Die modernisierte Version bietet -bei guter Wartung- ein solides Flugzeug.
112;Ilyushin Sowjetunion;Il 62;999XL;1;1;0;1969;43.2;53.1;12.3;164996;198;880;9200;4 Soloviev D30KU;11000;3;3;110000;10500;9900000;1.2;Die Il62 ist der erste Langstreckenlinienjet der Sowjetunion und fliegt seit den 70er Jahren Inlandsflüge. Ihr Design ähnelt der britischen Vickers VC10.
119;Grumman Engineering Corp.;Gulfstream II;999XL;1;0;0;1966;x;x;x;x;15;950;6000;2 Rolls Royce Spey Mk.511-8;10000;2;1;12000;1800;10000000;1;Dieser kleine Businessjet hat eine enorm große Reichweite. Der etwas andere Luxus. Klein, schnell, extravagant, teuer. Auch als Privatjet und Statussymbol sehr beliebt. Schocken sie Ihren Konkurrenten mit diesem Kauf.
123;de Havilland Canada;DHC 8 Dash 8;999XL;1;0;0;1983;x;x;x;x;40;555;2150;2 Pratt&Whitney Turboprops;8900;2;1;7000;1800;14000000;1;Diese Maschine wird sowohl zivil als auch vom Mitilär genutzt. Sie ist sehr günstig im Unterhalt.
122;McDonnell Douglas;DC 8 Super 70;999XL;1;0;0;1980;x;x;x;x;259;932;12600;4 Rolls Royce Turbofan CFM56;18000;3;5;115000;14000;80000000;1,4;Die Serie 70 ist eine Aufrüstung der Serie 60. V.a. die Triebwerke sind stärker und effizienter.Mit diesen Werten ein günstiger Konkurrent der Boeing 747.
107;McDonnell Douglas;DC 10;999XL;1;1;0;1976;50.4;55.3;17.7;251701;380;965;9252;3 General Electric CF6-50C2s;52200;3;5;138730;9376;29000000;1;Die Triebwerksanordnung bei dieser Maschine ungewöhnlich. Sie ist für Kurz-, Mittel-, und Langstreckenflüge entwickelt. Auch heute ist dieser Jet  -in der aktuellen Version - noch sehr beliebt.
116;BAC Aerospatiale;Concorde;999XL;1;4;3;1976;25.5;62.1;11.3;185065;100;2150;6230;4 Rolls-Royce / SNECMA Olympus 593s;38000;3;2;119500;25629;30000000;1.8;Die Concorde ist extrem schnell aber auch extrem exclusiv. Nur 100 Fluggäste habe an Bord Platz und ein großer Mensch kann in den Kabinen nicht aufrecht stehen. Dafür reist der Gast mit ungalublicher Geschwindigkeit.
126;Lockheed Corp.;C5A Galaxy;999XL;1;0;0;1968;67,88;75,54;19,85;115000;345;919;6000;4 General Electric TF-GE 1;40000;3;5;9000;14000;25000000;1,6;Diese amerikanische Maschine wird auch vom Militär eingesetzt. Der Neupreis ist relativ moderat, jedoch ist die Galaxy in den laufenden Kosten nicht zu unterschätzen.
108;Airbus Industrie;A 320 ;999XL;1;3;25;1988;33.9;37.6;11.8;66000;149;853;3717;2 General Electric / SNECMA CFM56-5A1s;25000;2;3;23870;3025;12000000;1.1;Airbus hat 1984 nach Anlaufproblemen die offizielle Unterstützung der britischen und deutschen Regierung für die Produktion erhalten. Der A320 hat auf Kurzstrecken eine 43% Kraftstoffersparnis gegenüber der 727 und macht ihn somit zu einem Interesanten Je
110;Airbus Industrie;A 310;999XL;1;3;15;1982;43.9;46.67;15.80;132000;250;900;7350;2 General Electric CF6-80C2A2;25000;2;4;24210;2850;22500000;1;Der A310 ist eine Weiterentwicklung der 300er Serie, modernisiert und mit etwas kürzerem Rumpf sowie einen Zusatztank im Höhenleitwerk der eine bessere Trimmung ermöglicht.
111;Airbus Industrie;A 300 ;999XL;1;3;0;1973;44.8;54.0;16.11;153000;375;875;8000;2 General Electric CF6-50;25000;2;5;29700;2983;28125000;1;Der A300 wurde in der urspünglichen Variante 1970 von mehreren europäischen Partnern entwickelt und dient bis heute als Grundlage für die moderneren Liner aus der Airbus Familie. Hier liegt schon die modernisierte Version 600 vor.
